customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date
1,Warren,Taylor,tommy79@example.org,(731)384-3222,5177 Clark Estates,Johnsonton,DC,75669,USA,2025-05-22
2,Dylan,Jackson,dennishunt@example.net,(986)999-0413,36929 Cindy Pass Suite 257,East Nicholasberg,CT,02671,USA,2023-09-24
3,Gregory,Valenzuela,mserrano@example.org,+1-808-781-1729x806,863 Clarke Light,Briannashire,CT,56270,USA,2023-06-09
4,Carmen,Stephens,thomas31@example.com,830-709-8180x635,69448 Cunningham Ridge,Victoriafurt,WV,27199,USA,2024-08-16
5,Timothy,Hinton,jwhite@example.net,001-556-821-3721,902 Oconnell Avenue Apt. 279,Davisview,IN,49107,USA,2023-03-18
6,Christina,Meyer,ramseysarah@example.com,001-590-427-7038x430,3021 Chan Knoll,Sullivanborough,NC,02515,USA,2025-11-11
7,Maria,Herman,calhounandrea@example.net,(854)339-3769x042,451 Walter Via,Heatherfurt,OK,63891,USA,2023-11-26
8,Michelle,Olson,susan77@example.net,516-633-5658x804,5182 Edwards Forge,Ianborough,NM,97115,USA,2023-09-20
9,Jermaine,Conley,jillsalas@example.org,+1-752-711-1790x807,472 Sanders Terrace Apt. 086,Ayerston,NY,46020,USA,2024-07-17
10,Steve,Norris,stephenmartinez@example.net,4366915594,7955 Victor Fords,Haynesstad,MN,53007,USA,2024-01-22
11,Gina,Olsen,iwhite@example.net,001-943-486-6322x7026,4489 Raymond Spurs Apt. 034,Combsville,NV,98096,USA,2024-04-16
12,Maurice,Jenkins,michael88@example.com,(993)399-8245x587,472 Danielle Junction Suite 996,North Fernandobury,MD,42034,USA,2025-08-24
13,Pam,Norman,jennifer96@example.com,(598)476-2202x341,11780 Kelli Pine Apt. 149,North Diana,FM,51598,USA,2024-03-08
14,David,Rose,johnmitchell@example.net,(900)455-7784,979 Mills Route,Reginafort,ND,30271,USA,2023-04-02
15,Eric,Smith,aparker@example.com,525.247.8077x40649,68663 Jennifer Rue Suite 634,South Colleenhaven,WV,80876,USA,2025-10-26
16,Jacob,Jones,justin84@example.com,(541)779-7497,08021 Adams Stravenue,Acostabury,CO,20251,USA,2022-12-06
17,Kristi,Jimenez,arobinson@example.com,(470)551-2046x187,0136 Wright Bypass Apt. 718,South Paul,ME,42845,USA,2023-07-18
18,Jon,Little,garnerandrea@example.org,450.631.3650,3009 Barker Drives,Kellibury,GA,66026,USA,2023-04-04
19,Deanna,Miles,sarah00@example.com,227-835-8573,240 Mann Points Suite 873,New Michael,VA,61894,USA,2024-01-15
20,Lori,Weaver,caseymoore@example.com,808.562.0959x351,294 Ortiz Islands Apt. 181,Port Sharonburgh,VI,04600,USA,2023-09-23
21,Darlene,Price,washingtoncorey@example.net,389.994.0539x1037,8650 Rice Street,Port Kevinborough,NC,13230,USA,2023-04-20
22,Diane,Hudson,amandalopez@example.net,(388)461-9576,685 Amanda Rapid,Mahoneymouth,OH,43054,USA,2024-06-13
23,Marcus,Allen,bduran@example.net,+1-236-284-5776,082 Smith Forges Apt. 504,North Benjamin,MI,20962,USA,2023-06-17
24,Jonathan,Evans,michael93@example.org,001-369-631-5727,961 Sandra Isle,Nicholechester,MT,16300,USA,2023-11-01
25,Kevin,Williams,walterscrystal@example.org,+1-992-358-3206,4622 Miller Ports,New Raymondland,MO,66275,USA,2024-09-18
26,Tony,Pearson,kathleencastillo@example.org,789.383.3146,665 Lee Key,Port Kevinstad,RI,58462,USA,2025-07-09
27,James,Brooks,scottglass@example.org,001-211-703-9240x51477,833 Dunn Road,Lake Holly,AK,49863,USA,2025-05-07
28,Kristina,Williamson,scottbrian@example.org,6708164510,8157 Jacob Parkway,Castrotown,AZ,32927,USA,2025-02-13
29,Michael,Bell,matthew62@example.org,+1-743-884-0460x8432,68936 Ashley Meadow,Reneemouth,NV,71572,USA,2023-06-06
30,Lauren,Huffman,denisecarpenter@example.net,782-462-9251x8812,6647 Hernandez Field,East Jackview,PA,74824,USA,2025-06-22
31,Michael,Watts,caitlynhall@example.org,528.297.5267x7223,46333 Gregory Mill Suite 573,Sullivanton,PA,96882,USA,2024-06-26
32,Alicia,Liu,phillip99@example.net,8812770388,034 Sanders Hollow Suite 726,Christieton,UT,68261,USA,2023-06-22
33,Jennifer,Wilson,cgallegos@example.org,001-398-626-6570x27937,211 Jasmin Roads Suite 186,South Andrea,AZ,22899,USA,2024-04-17
