order_id,customer_id,order_date,status,shipping_address,shipping_city,shipping_state,shipping_zip,total_amount
1,1,2025-01-31,cancelled,51742 Keith Greens,East Robert,CT,70437,347.32
2,1,2025-09-30,cancelled,34686 Grace Forge,South Alexanderside,MO,59306,3235.54
3,3,2025-08-09,shipped,20095 Peter Unions,Griffithland,OK,47738,60.08
4,3,2025-01-28,delivered,900 Marshall Rapids Suite 001,Sanchezmouth,AS,74305,2214.14
5,3,2024-11-17,pending,3971 Karen Bypass,Jacksonland,CT,27265,5773.31
6,3,2025-06-10,pending,087 Diana Park Apt. 210,Leslieview,WA,53914,1427.89
7,3,2025-09-16,shipped,1928 Thomas Avenue,Scottbury,MT,07551,5610.14
8,3,2025-01-08,shipped,4225 Christopher Locks,East Matthewborough,PW,77533,3855.69
9,3,2025-02-25,processing,09447 Ware Lane,East Emilychester,SD,82487,1019.3
10,3,2025-03-30,pending,32761 Morrison Hills Apt. 245,Breannastad,DE,50605,3932.46
11,3,2024-11-27,processing,19158 George Meadows,Holderport,VA,80015,2395.66
12,4,2025-09-20,pending,7868 Martinez Mountain Suite 008,Larryview,AK,67501,1528.16
13,4,2025-08-30,pending,8191 Travis River,North Samuel,AZ,07100,196.26
14,4,2025-04-18,delivered,9235 Joshua Grove,Nelsonton,NY,21173,3882.64
15,4,2024-12-28,pending,865 Reynolds Drive,East Cameronburgh,ID,97950,60.08
16,4,2025-08-22,cancelled,205 Smith Fords Apt. 000,New Aprilbury,WY,38733,2754.52
17,4,2025-08-28,processing,3919 Aaron Pike Apt. 141,Yatestown,OR,12604,2288.61
18,4,2025-04-11,processing,27379 Singh River,South Alanmouth,ME,71715,1208.06
19,4,2025-10-06,delivered,674 Sanchez Causeway,New Lisashire,NY,36851,794.16
20,4,2025-08-05,cancelled,61137 Sarah Pike,West Christopherside,SD,48916,4964.82
21,5,2025-08-09,shipped,8294 Teresa Field Suite 015,West Kathryn,KY,54617,2463.8
22,5,2025-04-21,cancelled,5699 Campbell Squares,Michellechester,NV,19935,299.34
23,6,2025-08-18,delivered,08240 Jasmine Plains,Lake Williamberg,SD,29663,1762.12
24,6,2025-05-31,processing,402 Taylor Pines Suite 817,Haleyberg,NH,30306,1783.11
25,6,2025-09-15,cancelled,364 Stephanie Forges Suite 700,Christopherville,WI,73903,1819.52
26,6,2025-01-06,processing,81612 Reed Brook Suite 610,South Carolynbury,AR,35169,2759.79
27,6,2025-04-27,shipped,01283 Stephen Burgs Apt. 232,Jonesland,DC,04349,1805.71
28,6,2025-07-25,delivered,507 Graham Islands Apt. 446,West Dianaberg,NV,55415,1140.99
29,6,2025-02-05,shipped,0191 Young Lakes Suite 347,West Jimmy,OH,55794,2763.56
30,6,2024-12-15,delivered,8225 Kara Crossroad Suite 267,New Philipchester,VT,51281,3442.05
31,6,2025-11-11,cancelled,622 Terrell Road Suite 687,Kristyport,NJ,61722,2674.43
32,7,2025-10-01,pending,290 Michael Camp,Proctorville,AS,67381,934.4
33,7,2025-03-10,processing,2235 Cain Inlet Apt. 466,North Edward,MA,84019,3667.59
34,7,2025-04-30,processing,525 Andrews Extensions Apt. 644,Port Davidfort,WI,26134,2950.48
35,7,2025-06-13,pending,273 Mercedes Meadow,West Jeremiah,TX,77408,172.17
36,7,2025-09-15,shipped,821 Willis Manor Apt. 664,West Melanieville,AZ,24322,598.68
37,7,2024-12-18,pending,4341 John Burgs,Lake Richardport,RI,98015,2018.16
38,7,2025-06-06,cancelled,37218 Brown Centers Apt. 203,New Seanshire,RI,79719,1925.07
39,8,2025-11-02,processing,14003 Ellison Mountains,East Danielfort,WA,13464,2876.57
40,8,2025-06-30,cancelled,860 Nicole Throughway Suite 259,Lake Williamville,OR,85437,6232.32
41,8,2025-03-03,processing,550 Chase Mill Suite 358,Lake David,NJ,22320,2207.34
42,8,2025-06-17,pending,072 George Centers Apt. 716,South Anthonyhaven,DE,81184,1216.47
43,8,2025-05-14,pending,39964 Henry Crest,South Matthew,IN,05785,3504.37
44,8,2025-05-05,pending,102 Payne Spring Suite 578,North Geoffreyview,TN,38926,2913.73
45,8,2025-01-27,processing,62216 Kristina Lights,Arnoldmouth,KS,52721,1253.37
46,8,2025-07-29,pending,67516 John Vista Suite 215,Lake Darrellchester,MH,39585,2360.1
47,10,2025-09-28,pending,1070 James Cape,Patriciaburgh,LA,28272,2809.04
48,10,2025-08-12,cancelled,839 Keith Walk,Wesleybury,AK,01840,380.33
49,10,2025-03-10,processing,691 Leslie Forks,East Craigland,MS,62926,2270.76
50,10,2025-08-19,shipped,864 Marquez Gardens Apt. 953,Andrealand,AL,43211,1757.68
51,10,2024-11-19,delivered,7642 Wagner Valley,Foleyville,MD,62427,954.77
52,11,2025-02-16,cancelled,1281 Velez Isle Apt. 239,Kathyfort,NY,13406,3770.58
53,11,2025-03-25,processing,2609 Martin Street Suite 024,Ryanstad,WI,37225,1983.51
54,11,2025-04-26,cancelled,2051 Garcia Mount Apt. 087,West Patrickview,WV,86004,3999.23
55,12,2025-05-18,delivered,0317 Parker Forks,Port Jacobmouth,LA,10055,1696.19
56,12,2025-10-05,processing,572 Williams Port Apt. 546,Zavalamouth,HI,73246,3959.74
57,12,2025-06-01,delivered,76642 Sean Lane Apt. 271,West Jared,OH,53046,1095.04
